User;Name;Date;changes,w_id,event_timestamp
84.5.244.223;Complot_de_Charenton;03/11/2005 04:37;857,a6071e45-dd06-4a9f-bdfb-925cd6c253be,2022-05-19 16:39:30.373256
Richelieu;Conseil_exécutif_(Révolution_française);05/11/2005 02:27;976,c654addc-d944-4177-aa0f-7d35e67f18b6,2022-05-19 16:39:30.373269
Darkdadaah;Ci-devant;06/11/2005 03:26;73,8237f72f-1782-44ff-8e5a-78dc151a3adb,2022-05-19 16:39:30.373278
Richelieu;Club_des_Impartiaux;11/11/2005 01:23;567,62f765f9-7371-4243-b7a5-8a639b47deb8,2022-05-19 16:39:30.373286
85.201.108.245;Complot_révolutionnaire_nantais_contre_les_modérés;13/11/2005 11:05;17,a9962666-5795-4d95-a132-3e284c065e65,2022-05-19 16:39:30.373295
85.201.108.245;Complot_révolutionnaire_nantais_contre_les_modérés;13/11/2005 11:05;1,f8cd0758-28ef-4605-8933-4b3be58c9f42,2022-05-19 16:39:30.373313
Richelieu;Club_de_1789;15/11/2005 08:46;717,cbee3836-f3df-4e29-896a-c0129709c942,2022-05-19 16:39:30.373322
Rocastelo;Alexandre_François_Marie_de_Beauharnais;20/11/2005 09:16;31,e32aed0b-8876-4d16-9b7a-a4b5cee1026d,2022-05-19 16:39:30.373330
Clio64;Bataille_de_Cholet;01/12/2005 06:30;37,fcf222f3-45bc-452d-9db7-d21a455931d0,2022-05-19 16:39:30.373339
Archeos;Contributions_directes;04/12/2005 07:32;1086,9217422f-3c5b-4123-a6d8-040c9d191511,2022-05-19 16:39:30.373353
RobotQuistnix;Bonnet_phrygien;10/12/2005 02:00;20,522c66b2-31ba-4fb4-99f5-f417d9d22fbe,2022-05-19 16:39:30.373361
Ayin;Coup_d'État_du_30_prairial_an_VII_(18_juin_1799);10/12/2005 05:15;0,857bb171-0d9e-444e-862a-94c71b230ceb,2022-05-19 16:39:30.373369
MedBot;Coup_d'État_du_18_fructidor_an_V;17/12/2005 07:40;6,69047a63-d5b3-4e99-99aa-03bc1bdb049e,2022-05-19 16:39:30.373378
82.225.234.108;Affaire_Réveillon;17/12/2005 09:01;2025,40f99d60-1394-49f9-8b70-3c7d35c1b359,2022-05-19 16:39:30.373391
Richelieu;Club_de_Salm;18/12/2005 06:42;502,f5fb06c1-34bd-461b-850a-fc47a17e07bb,2022-05-19 16:39:30.373399
Popolon;Affaire_Réveillon;19/12/2005 10:20;301,9bdeb7db-6636-4593-82b4-1f9bd37f0178,2022-05-19 16:39:30.373408
Popolon;Affaire_Réveillon;19/12/2005 10:25;53,d5b7bedd-0eb2-4442-a881-cdfaa59c4c49,2022-05-19 16:39:30.373430
Popolon;Affaire_Réveillon;19/12/2005 10:32;127,5b840cf4-81f8-412d-aeb5-a1bb8eb1b434,2022-05-19 16:39:30.373443
Popolon;Affaire_Réveillon;19/12/2005 10:51;40,a257e3a6-7d91-43e4-b2db-349b6ec43994,2022-05-19 16:39:30.373456
Popolon;Affaire_Réveillon;19/12/2005 11:21;14,601c1448-d799-4f63-8f92-45978cb76377,2022-05-19 16:39:30.373469
Idarvol;Coup_d'État_du_18_fructidor_an_V;20/12/2005 05:53;167,66f0ab29-25cf-441a-8456-88722660be6a,2022-05-19 16:39:30.373477
Richelieu;Club_de_Salm;21/12/2005 08:31;57,410b318a-4680-4703-8241-b6410bde78ec,2022-05-19 16:39:30.373486
83.199.180.201;Affaire_Réveillon;23/12/2005 04:35;15,9124ffd9-9d6b-4602-acb7-ec7c3c33dc6b,2022-05-19 16:39:30.373505
Yanik Crépeau;Bon_Albert_Briois_de_Beaumetz;25/12/2005 01:38;44,5f218b16-39cd-4186-9367-4fa4517a0122,2022-05-19 16:39:30.373525
Richelieu;Bon_Albert_Briois_de_Beaumetz;25/12/2005 12:41;1703,5da91269-4f72-4f72-9b44-4d14efb35e42,2022-05-19 16:39:30.373534
Richelieu;Certificat_de_civisme;26/12/2005 01:32;579,2c0b6e6a-6e4c-42a7-b873-8aef57c2d0c0,2022-05-19 16:39:30.373542
Archeos;Certificat_de_civisme;26/12/2005 04:34;108,43bdfe84-2f99-46fb-82c1-5e4fe64bec01,2022-05-19 16:39:30.373550
Kelson;Coup_d'État_du_18_fructidor_an_V;28/12/2005 07:45;5,ed6545e6-1aaa-4dd1-abbb-1ad3b9632986,2022-05-19 16:39:30.373568
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:28;13,2a4cbaa2-e5b6-4529-a57b-1a7b6a2733a2,2022-05-19 16:39:30.373577
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:30;13,7a4ad344-80eb-46d0-9a03-2fdcead2dcc2,2022-05-19 16:39:30.373596
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:35;5,0c7e0be6-b14e-448a-af62-82df28044fbc,2022-05-19 16:39:30.373614
Romanc19s;Coup_d'État_du_30_prairial_an_VII_(18_juin_1799);01/01/2006 08:39;82,bac5da0f-547f-4232-a591-b92e89069579,2022-05-19 16:39:30.373630
GillesC;Bataille_de_Cholet;04/01/2006 09:24;23,b47c244e-5c4c-4a15-80cb-ca1e794d6776,2022-05-19 16:39:30.373640
GillesC;Bataille_de_Cholet;04/01/2006 09:25;11,323ae2a4-1089-4567-95d9-2a1984788797,2022-05-19 16:39:30.373649
Tython;Caroline_chérie_(1951);05/01/2006 10:09;38,f2cb8347-d7c0-4555-929a-e9d74ec62fda,2022-05-19 16:39:30.373657
Tython;Caroline_chérie_(1951);05/01/2006 10:22;2,cfb2f54d-5676-4710-8f25-a97f55dbccb0,2022-05-19 16:39:30.373666
Poildoiseau;Complot_de_Charenton;06/01/2006 05:37;24,92ec19f3-4580-4e95-916a-fd964c126f9d,2022-05-19 16:39:30.373674
PieRRoMaN;Citoyen_actif;09/01/2006 12:29;23,13ea3c2b-c63b-4b83-a086-ff99e7776a81,2022-05-19 16:39:30.373682
Phe;Affaire_Réveillon;13/01/2006 10:20;2,2993c3f5-6d24-41e2-ae96-1e74337c1f2b,2022-05-19 16:39:30.373691
Marsyas;Bonnet_phrygien;14/01/2006 02:05;324,848734e0-d3cc-4b1f-a49b-08e5dc49b6d5,2022-05-19 16:39:30.373699
Manalfer;Coup_d'État_du_18_fructidor_an_V;18/01/2006 02:55;5,7b2f350c-c955-4356-81da-548a31a435c1,2022-05-19 16:39:30.373713
ZeroJanvier;Caroline_chérie_(1951);21/01/2006 03:03;0,2dabefc0-688c-4b12-9277-6507eac8fc41,2022-05-19 16:39:30.373728
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:42;16,2ee4907d-d708-4693-b5a9-ea7a764e00e7,2022-05-19 16:39:30.373737
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:43;6,77e1b13a-5050-4afb-92a4-05684afffc43,2022-05-19 16:39:30.373746
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:58;10,22358ea0-f408-42fe-b1d0-cccc60ca6a0c,2022-05-19 16:39:30.373755
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:59;48,88f8673e-ed38-47af-b5d0-5cdcea40c89a,2022-05-19 16:39:30.373763
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 10:02;49,2d974795-baa9-40a1-9b01-b47bea078655,2022-05-19 16:39:30.373772
Hashar;Bon_Albert_Briois_de_Beaumetz;22/01/2006 03:20;18,e5fcc254-ec31-4f1b-867c-94f68157b9c5,2022-05-19 16:39:30.373781
Phe;Affaire_Réveillon;22/01/2006 12:01;9,2ac759b3-98b8-4fe3-80fa-4b7b1634275b,2022-05-19 16:39:30.373789
Phe;Affaire_Réveillon;22/01/2006 12:03;46,b1bf7b19-fd7a-4876-a287-4c2c310f0be5,2022-05-19 16:39:30.373797
Probot;Alexandre_François_Marie_de_Beauharnais;24/01/2006 08:14;814,905f36c3-4786-4e70-88bf-3434b811d011,2022-05-19 16:39:30.373806
Probot;Bon_Albert_Briois_de_Beaumetz;24/01/2006 08:35;142,fee73ff8-10ca-4849-9cce-669b107470f4,2022-05-19 16:39:30.373814
Probot;Bon_Albert_Briois_de_Beaumetz;24/01/2006 09:55;140,6c34fa9c-350f-4409-a89b-182ea74c48c0,2022-05-19 16:39:30.373823
Probot;Bon_Albert_Briois_de_Beaumetz;25/01/2006 09:15;2,8de0b4da-3eca-44f7-82d8-2c844ec84850,2022-05-19 16:39:30.373831
Vargenau;Club_de_Salm;27/01/2006 02:23;103,3113cb41-208f-420f-85af-cf67362f340a,2022-05-19 16:39:30.373839
Vargenau;Adoption_par_Louis_XVI_de_la_cocarde_tricolore;27/01/2006 03:42;32,b6224570-d6b9-45ae-b42d-24b5b21675eb,2022-05-19 16:39:30.373848
Vargenau;Conspiration_de_Bicêtre;27/01/2006 05:18;91,891e874e-8e6b-44fd-929c-ee63a30fb689,2022-05-19 16:39:30.373856
Badmood;Bon_Albert_Briois_de_Beaumetz;27/01/2006 11:43;84,e017e1a3-e504-40e0-942c-4f3c15da7284,2022-05-19 16:39:30.373865
Badmood;Alexandre_François_Marie_de_Beauharnais;27/01/2006 12:06;73,2af59a18-e086-44f8-9631-23c065202c09,2022-05-19 16:39:30.373873
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:40;696,5ea718d9-0ef7-48f0-8dde-1c8c10974f90,2022-05-19 16:39:30.373882
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:40;2,07fb5e4a-d715-4a2b-9a5c-d7d49fcd69a9,2022-05-19 16:39:30.373907
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:44;1,7df82e5a-ee85-4d58-8fce-01ae0a8c641a,2022-05-19 16:39:30.373917
82.124.29.133;André_Joseph_Abrial;28/01/2006 03:44;1,11177329-ecdf-4e09-ad31-fe93bbf3d054,2022-05-19 16:39:30.373926
Vargenau;Bataille_de_Cholet;28/01/2006 10:19;182,02e3a720-0bff-4cc3-b8b7-b8bce1d43017,2022-05-19 16:39:30.373934
Vargenau;Complot_de_Charenton;29/01/2006 07:17;79,9c2f4e94-791e-4d1f-922b-5cc66d51403f,2022-05-19 16:39:30.373942
Vargenau;Complot_de_l'Œillet;29/01/2006 07:17;0,92b35ab6-f3c6-44ea-bfe4-bc587acdcbb6,2022-05-19 16:39:30.373988
Vargenau;Complot_de_l'Œillet;29/01/2006 07:20;89,547c53dc-b155-4fd0-b4cc-e0edd349615d,2022-05-19 16:39:30.373998
Vargenau;Coup_d'État_du_18_fructidor_an_V;29/01/2006 12:48;135,0be77483-01b7-477d-805e-e3be6ac420c4,2022-05-19 16:39:30.374007
Vargenau;Conseil_exécutif_(Révolution_française);30/01/2006 09:01;99,8d5302e8-693c-4fcd-a939-0bd7611622f9,2022-05-19 16:39:30.374024
Vicomte Moniot;Cocarde_tricolore;02/02/2006 05:08;519,d1118288-f5f5-428c-ac9b-960f9215ada6,2022-05-19 16:39:30.374039
Vicomte Moniot;Cocarde_tricolore;02/02/2006 05:09;4,b98a53b0-9e6b-47c2-ade7-3b6d23e529e6,2022-05-19 16:39:30.374048
Brozouf;Blancs_(Révolution_française);02/02/2006 08:10;261,add3e57c-85fc-49df-9db8-db6c99459942,2022-05-19 16:39:30.374056
Brozouf;Blancs_(Révolution_française);02/02/2006 08:11;17,ae375f9d-98c6-4786-9073-a5c9c96aa4e0,2022-05-19 16:39:30.374064
Mwarf;Coup_d'État_du_18_fructidor_an_V;04/02/2006 05:01;14,f828ef7d-9487-4e2b-9c47-b30d7545b3f3,2022-05-19 16:39:30.374079
Miniwark;Cocarde_tricolore;05/02/2006 10:30;57,ece5ab2d-cf03-4243-81a7-ba4196246bb2,2022-05-19 16:39:30.374093
Brozouf;Camille_Borghèse;05/02/2006 10:44;48,5dd3b1bd-5744-4267-b00e-4e750cc33e1e,2022-05-19 16:39:30.374106
Brozouf;Camille_Borghèse;05/02/2006 10:48;208,22af1900-5bf3-4186-a8b9-080c5b296af4,2022-05-19 16:39:30.374120
Brozouf;Camille_Borghèse;05/02/2006 10:49;60,a7e391b8-abd0-4c8c-beaf-ad2780a5c796,2022-05-19 16:39:30.374142
Brozouf;Camille_Borghèse;05/02/2006 10:53;338,bccb43d6-ccd4-4f14-8233-517ebb267fe4,2022-05-19 16:39:30.374160
Tensai;André_Joseph_Abrial;14/02/2006 06:46;48,43428216-f698-4d65-ac84-76224ee98725,2022-05-19 16:39:30.374179
